schema_name,table_name,index_name,index_definition
public,cash_movements,cash_movements_pkey,CREATE UNIQUE INDEX cash_movements_pkey ON public.cash_movements USING btree (id)
public,cash_movements,idx_cash_movements_order_id,CREATE INDEX idx_cash_movements_order_id ON public.cash_movements USING btree (order_id)
public,cash_movements,idx_cash_movements_payment_id,CREATE INDEX idx_cash_movements_payment_id ON public.cash_movements USING btree (payment_id)
public,cash_movements,idx_cash_movements_pos_created_at,"CREATE INDEX idx_cash_movements_pos_created_at ON public.cash_movements USING btree (point_of_sale_id, created_at DESC)"
public,cash_movements,idx_cash_movements_user_created_at,"CREATE INDEX idx_cash_movements_user_created_at ON public.cash_movements USING btree (user_id, created_at DESC)"
public,categories,categories_pkey,CREATE UNIQUE INDEX categories_pkey ON public.categories USING btree (id)
public,customers,customers_pkey,CREATE UNIQUE INDEX customers_pkey ON public.customers USING btree (id)
public,customers,customers_user_created_idx,"CREATE INDEX customers_user_created_idx ON public.customers USING btree (user_id, created_at DESC)"
public,customers,customers_user_full_name_uidx,"CREATE UNIQUE INDEX customers_user_full_name_uidx ON public.customers USING btree (user_id, lower(btrim(full_name))) WHERE (is_active = true)"
public,inventory_movements,idx_inventory_movements_point_of_sale,"CREATE INDEX idx_inventory_movements_point_of_sale ON public.inventory_movements USING btree (point_of_sale_id, created_at DESC)"
public,inventory_movements,idx_inventory_movements_product_created_at,"CREATE INDEX idx_inventory_movements_product_created_at ON public.inventory_movements USING btree (product_id, created_at DESC)"
public,inventory_movements,idx_inventory_movements_reference,"CREATE INDEX idx_inventory_movements_reference ON public.inventory_movements USING btree (reference_type, reference_id)"
public,inventory_movements,idx_inventory_movements_user_created_at,"CREATE INDEX idx_inventory_movements_user_created_at ON public.inventory_movements USING btree (user_id, created_at DESC)"
public,inventory_movements,idx_inventory_movements_variant_created_at,"CREATE INDEX idx_inventory_movements_variant_created_at ON public.inventory_movements USING btree (variant_id, created_at DESC)"
public,inventory_movements,idx_inventory_movements_warehouse_created_at,"CREATE INDEX idx_inventory_movements_warehouse_created_at ON public.inventory_movements USING btree (warehouse_id, created_at DESC)"
public,inventory_movements,inventory_movements_pkey,CREATE UNIQUE INDEX inventory_movements_pkey ON public.inventory_movements USING btree (id)
public,mv_sales_by_product,mv_sales_by_product_unique_idx,"CREATE UNIQUE INDEX mv_sales_by_product_unique_idx ON public.mv_sales_by_product USING btree (user_id, product_id, variant_id, product_name, variant_name_snapshot)"
public,order_items,idx_order_items_order_id,CREATE INDEX idx_order_items_order_id ON public.order_items USING btree (order_id)
public,order_items,idx_order_items_position,"CREATE INDEX idx_order_items_position ON public.order_items USING btree (order_id, ""position"")"
public,order_items,idx_order_items_variant_id,CREATE INDEX idx_order_items_variant_id ON public.order_items USING btree (variant_id)
public,order_items,order_items_pkey,CREATE UNIQUE INDEX order_items_pkey ON public.order_items USING btree (id)
public,orders,idx_orders_customer_id_created_at,"CREATE INDEX idx_orders_customer_id_created_at ON public.orders USING btree (customer_id, created_at DESC)"
public,orders,idx_orders_order_status_created_at,"CREATE INDEX idx_orders_order_status_created_at ON public.orders USING btree (order_status, created_at DESC)"
public,orders,idx_orders_payment_status_created_at,"CREATE INDEX idx_orders_payment_status_created_at ON public.orders USING btree (payment_status, created_at DESC)"
public,orders,idx_orders_point_of_sale_id,CREATE INDEX idx_orders_point_of_sale_id ON public.orders USING btree (point_of_sale_id)
public,orders,idx_orders_user_id,CREATE INDEX idx_orders_user_id ON public.orders USING btree (user_id)
public,orders,idx_orders_warehouse_id,CREATE INDEX idx_orders_warehouse_id ON public.orders USING btree (warehouse_id)
public,orders,orders_customer_id_idx,CREATE INDEX orders_customer_id_idx ON public.orders USING btree (customer_id)
public,orders,orders_order_number_uidx,CREATE UNIQUE INDEX orders_order_number_uidx ON public.orders USING btree (order_number)
public,orders,orders_order_number_unique_idx,CREATE UNIQUE INDEX orders_order_number_unique_idx ON public.orders USING btree (order_number) WHERE (order_number IS NOT NULL)
public,orders,orders_pkey,CREATE UNIQUE INDEX orders_pkey ON public.orders USING btree (id)
public,payment_allocations,idx_payment_allocations_order_id,CREATE INDEX idx_payment_allocations_order_id ON public.payment_allocations USING btree (order_id)
public,payment_allocations,idx_payment_allocations_payment_id,CREATE INDEX idx_payment_allocations_payment_id ON public.payment_allocations USING btree (payment_id)
public,payment_allocations,idx_payment_allocations_user_created_at,"CREATE INDEX idx_payment_allocations_user_created_at ON public.payment_allocations USING btree (user_id, created_at DESC)"
public,payment_allocations,payment_allocations_pkey,CREATE UNIQUE INDEX payment_allocations_pkey ON public.payment_allocations USING btree (id)
public,payment_allocations,payment_allocations_unique_payment_order,"CREATE UNIQUE INDEX payment_allocations_unique_payment_order ON public.payment_allocations USING btree (payment_id, order_id)"
public,payments,idx_payments_customer_id,CREATE INDEX idx_payments_customer_id ON public.payments USING btree (customer_id)
public,payments,idx_payments_order_id,CREATE INDEX idx_payments_order_id ON public.payments USING btree (order_id)
public,payments,idx_payments_payment_date,CREATE INDEX idx_payments_payment_date ON public.payments USING btree (payment_date DESC)
public,payments,idx_payments_status,CREATE INDEX idx_payments_status ON public.payments USING btree (payment_status)
public,payments,idx_payments_user_id_created_at,"CREATE INDEX idx_payments_user_id_created_at ON public.payments USING btree (user_id, created_at DESC)"
public,payments,payments_pkey,CREATE UNIQUE INDEX payments_pkey ON public.payments USING btree (id)
public,points_of_sale,idx_points_of_sale_user_active,"CREATE INDEX idx_points_of_sale_user_active ON public.points_of_sale USING btree (user_id, active)"
public,points_of_sale,points_of_sale_pkey,CREATE UNIQUE INDEX points_of_sale_pkey ON public.points_of_sale USING btree (id)
public,points_of_sale,points_of_sale_user_code_unique_idx,"CREATE UNIQUE INDEX points_of_sale_user_code_unique_idx ON public.points_of_sale USING btree (user_id, lower(code)) WHERE (code IS NOT NULL)"
public,points_of_sale,points_of_sale_user_name_unique_idx,"CREATE UNIQUE INDEX points_of_sale_user_name_unique_idx ON public.points_of_sale USING btree (user_id, lower(name))"
public,product_variants,idx_product_variants_product_active,"CREATE INDEX idx_product_variants_product_active ON public.product_variants USING btree (product_id, active)"
public,product_variants,idx_product_variants_user_active,"CREATE INDEX idx_product_variants_user_active ON public.product_variants USING btree (user_id, active)"
public,product_variants,product_variants_barcode_unique_idx,CREATE UNIQUE INDEX product_variants_barcode_unique_idx ON public.product_variants USING btree (lower(barcode)) WHERE (barcode IS NOT NULL)
public,product_variants,product_variants_pkey,CREATE UNIQUE INDEX product_variants_pkey ON public.product_variants USING btree (id)
public,product_variants,product_variants_product_name_unique_idx,"CREATE UNIQUE INDEX product_variants_product_name_unique_idx ON public.product_variants USING btree (product_id, lower(variant_name))"
public,product_variants,product_variants_sku_unique_idx,CREATE UNIQUE INDEX product_variants_sku_unique_idx ON public.product_variants USING btree (lower(sku)) WHERE (sku IS NOT NULL)
public,products,products_pkey,CREATE UNIQUE INDEX products_pkey ON public.products USING btree (id)
public,profiles,idx_profiles_role_active,"CREATE INDEX idx_profiles_role_active ON public.profiles USING btree (role, is_active)"
public,profiles,profiles_pkey,CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)
public,purchase_order_items,idx_purchase_order_items_po_id,CREATE INDEX idx_purchase_order_items_po_id ON public.purchase_order_items USING btree (purchase_order_id)
public,purchase_order_items,idx_purchase_order_items_product_id,CREATE INDEX idx_purchase_order_items_product_id ON public.purchase_order_items USING btree (product_id)
public,purchase_order_items,idx_purchase_order_items_variant_id,CREATE INDEX idx_purchase_order_items_variant_id ON public.purchase_order_items USING btree (variant_id)
public,purchase_order_items,purchase_order_items_pkey,CREATE UNIQUE INDEX purchase_order_items_pkey ON public.purchase_order_items USING btree (id)
public,purchase_orders,idx_purchase_orders_point_of_sale_id,CREATE INDEX idx_purchase_orders_point_of_sale_id ON public.purchase_orders USING btree (point_of_sale_id)
public,purchase_orders,idx_purchase_orders_status,CREATE INDEX idx_purchase_orders_status ON public.purchase_orders USING btree (status)
public,purchase_orders,idx_purchase_orders_supplier_id,CREATE INDEX idx_purchase_orders_supplier_id ON public.purchase_orders USING btree (supplier_id)
public,purchase_orders,idx_purchase_orders_user_created_at,"CREATE INDEX idx_purchase_orders_user_created_at ON public.purchase_orders USING btree (user_id, created_at DESC)"
public,purchase_orders,purchase_orders_pkey,CREATE UNIQUE INDEX purchase_orders_pkey ON public.purchase_orders USING btree (id)
public,suppliers,idx_suppliers_user_active,"CREATE INDEX idx_suppliers_user_active ON public.suppliers USING btree (user_id, is_active)"
public,suppliers,suppliers_pkey,CREATE UNIQUE INDEX suppliers_pkey ON public.suppliers USING btree (id)
public,suppliers,suppliers_user_name_unique_idx,"CREATE UNIQUE INDEX suppliers_user_name_unique_idx ON public.suppliers USING btree (user_id, lower(name))"
public,warehouses,idx_warehouses_user_active,"CREATE INDEX idx_warehouses_user_active ON public.warehouses USING btree (user_id, is_active)"
public,warehouses,warehouses_pkey,CREATE UNIQUE INDEX warehouses_pkey ON public.warehouses USING btree (id)
public,warehouses,warehouses_user_code_unique_idx,"CREATE UNIQUE INDEX warehouses_user_code_unique_idx ON public.warehouses USING btree (user_id, lower(code)) WHERE (code IS NOT NULL)"
public,warehouses,warehouses_user_name_unique_idx,"CREATE UNIQUE INDEX warehouses_user_name_unique_idx ON public.warehouses USING btree (user_id, lower(name))"